대여소번호,대여소명,자치구,경도,위도
3900,건국대학교 신공학관,광진구,127.07928467,37.54088593
3902, 항동지구5단지 501동 앞,구로구,126.82487488,37.47819901
3903, 현대아파트 앞,구로구,126.85917664,37.49333954
3904, 테크노마트 앞,구로구,126.8911438,37.50624084
3905, 희훈타워빌 앞,구로구,126.88924408,37.50191498
3906, 천왕차량사업소 입구,구로구,126.84501648,37.47604752
3907, 신도림7차e편한세상아파트 806동 앞,구로구,126.88353729,37.50862503
3908, 오류동 다숲오피스텔 앞,구로구,126.8416214,37.49267197
3910, 목양전원교회 앞 로터리,구로구,126.8221817,37.48389053
3911, 항동하버리안2단지아파트 후문,구로구,126.82247925,37.48337555
3912, 삼호아파트 앞,구로구,126.8564682,37.49385834
3914, 신도림쌍용플래티넘노블아파트 앞,구로구,126.89118195,37.50126266
3915, 동선아파트 앞,구로구,126.83907318,37.49382782
3917, 성공회대학교,구로구,126.82478333,37.48859024
3918, 이좋은집오피스텔 앞,구로구,126.84185028,37.4949913
3919, 구로역·NC신구로점 버스정류장(구로역 방면),구로구,126.88237,37.50096512
3920, 개봉역2번출구 B,구로구,126.85697937,37.49555206
3922, 서울남부교정시설 앞,구로구,126.83985901,37.47715378
3923, 구로공구상가 앞,구로구,126.87708282,37.50075531
3924, 오류동 계림웨스트밸리 앞,구로구,126.82965088,37.49090958
3925, 중앙유통단지 앞 B,구로구,126.87678528000001,37.50127029
3927,구로월드아파트 앞,구로구,126.87619019,37.50519562
3928,고척아이파크아파트 106동 앞,구로구,126.8609848,37.49801254
3929,고척아이파크아파트 205동 앞,구로구,126.86045837,37.50108719
3930,온수역 2번 출구 앞,구로구,126.82500458,37.49179459
3931,천왕역 3번 출구 뒤,구로구,126.83894348,37.48690414
3932,개봉센트레빌레우스아파트 앞,구로구,126.85295105,37.49752045
3933,오류동부골든아파트 후문 옆,구로구,126.84114075,37.49938202
3934,철도교통관제센터 정문 앞,구로구,126.87788391,37.49708176
3935,고대구로병원 앞,구로구,126.88424683,37.49312592
3936,힐스테이트 신도림역,구로구,126.88478851,37.50683594
3937,개봉역 신영지웰에스테이트,구로구,126.85797882,37.49563599
3939,신도림역 3번출구,구로구,126.89134979,37.50760651
3956, 대륭테크노타운21차 앞,금천구,126.88724518,37.46557617
3958, 롯데캐슬2차 마을버스 정류장(18804) 뒤편,금천구,126.89341736,37.45739746
3959, 시흥사거리(시흥동 994-3 앞),금천구,126.90045166,37.45415115
3963, 에이스 하드웨어(시흥대로 396) 앞,금천구,126.89826202,37.46865845
3966, 독산역1번출구 B,금천구,126.88920593,37.46709442
3967, 혜명양로원 담장 옆(2),금천구,126.91375732,37.45191956
3968, 독산동 현대홈타운 금천과선교 앞,금천구,126.89181519,37.46222305
3969, 독산역 롯데캐슬 104동 앞,금천구,126.89175415,37.46239853
3970, 시흥4동주민센터 앞,금천구,126.90592957,37.45894241
3971, 순흥안씨묘 건너편,금천구,126.90807343,37.45838165
3972, 산기슭공원 앞,금천구,126.90721893,37.46272278
3973, 독산2동주민센터 앞,금천구,126.90357208,37.4632225
3974, 안천중학교,금천구,126.88677979,37.45936584
3975,현대시티아울렛 가산,금천구,126.88877869,37.47739792
